18:14:21 [allowed] §eYou haven't claimed your §r§6Summer Rewards §r§eyet!
18:21:18 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:20 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:21 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:23 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:23 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:25 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:26 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:28 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:28 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:30 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:31 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:33 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:33 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:35 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:36 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:38 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:38 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:40 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:41 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:43 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:43 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:45 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:46 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:48 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:48 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:50 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:51 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:53 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:53 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:55 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:56 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:21:58 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:21:58 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:00 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:01 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:02 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:03 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:05 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:06 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:07 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:08 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:10 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:11 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:12 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:13 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:15 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:15 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:17 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:18 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:20 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:21 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
18:22:22 [allowed] §cAutopet §eequipped your §7[Lvl 77] §6Monkey§e! §a§lVIEW RULE
18:22:23 [allowed] §cAutopet §eequipped your §7[Lvl 96] §5Ocelot§e! §a§lVIEW RULE
